연번,평가구분,장기요양기관기호,장기요양기관명,급여종류,설립주체,관할시도명,관할시군구명,평가일자,평가등급,평가총점,기관운영,환경및안전,수급자권리보장,급여제공과정,급여제공결과,기관운영(2025),수급자존중(2025),서비스제공(2025),서비스결과(2025)
56,2021년 정기평가,1-11290-00169,청화요양원,01.입소시설30인이상,개인,서울특별시,성북구,2021-11-23,C,73.8,58.33,97.32,58.33,62.86,88,,,,
57,2021년 정기평가,1-11290-00237,다애요양원,01.입소시설30인이상,개인,서울특별시,성북구,2022-07-19,B,89.35,88.33,89.29,100,87.14,86,,,,
58,2021년 정기평가,1-11290-00020,순애노인전문요양원,01.입소시설30인이상,법인,서울특별시,성북구,2021-11-30,A,96.35,96.67,100,83.33,97.86,96,,,,
59,2021년 정기평가,1-11290-00149,성신노인요양원,01.입소시설30인이상,개인,서울특별시,성북구,2021-12-14,A,94.71,95,100,100,95.46,70.5,,,,
60,2021년 정기평가,1-11290-00253,정릉노인요양원,01.입소시설30인이상,개인,서울특별시,성북구,2021-12-20,C,70.6,58.33,77.68,50,71.43,91,,,,
61,2021년 정기평가,1-11290-00127,백마요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2022-06-17,C,71.81,71.67,81.25,66.67,60.6,91,,,,
62,2021년 정기평가,1-11290-00227,한솔요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2021-12-09,B,89.51,90,97.32,83.33,85.6,88,,,,
63,2021년 정기평가,1-11290-00104,부모섬김노인요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2021-11-17,A,92.07,81.67,100,91.67,90.91,90,,,,
64,2021년 정기평가,1-11290-00170,보문요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2022-08-10,E,51.8,53.33,72.32,37.5,30,85.5,,,,
65,2021년 정기평가,1-11290-00018,일광노인요양센터,02.입소시설10이상30인미만,법인,서울특별시,성북구,2021-12-20,D,65.6,55,79.46,62.5,55,83.5,,,,
66,2021년 정기평가,1-11290-00216,둥지요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2021-12-06,C,78.22,66.67,100,66.67,68.34,83,,,,
67,2021년 정기평가,1-11290-00215,종암요양원,02.입소시설10이상30인미만,개인,서울특별시,성북구,2022-06-02,B,86.23,86.67,87.5,62.5,93.94,83.5,,,,
68,2021년 정기평가,1-11290-00192,유민복지센터,03.입소시설10인미만,개인,서울특별시,성북구,2022-09-05,E,51.68,53.6,64.29,58.33,29.54,83,,,,
69,2021년 정기평가,1-11290-00139,명성노인복지센터,03.입소시설10인미만,개인,서울특별시,성북구,2021-12-21,E,46.01,17.87,63.39,37.5,36.66,82.5,,,,
70,2021년 정기평가,1-11290-00231,우리엄마요양원,03.입소시설10인미만,개인,서울특별시,성북구,2022-09-01,E,49.05,42.87,79.46,50,13.63,96,,,,
71,2021년 정기평가,1-11290-00273,우리엄마요양원2호점,03.입소시설10인미만,개인,서울특별시,성북구,2022-09-01,E,52.04,46.4,81.25,50,24.23,78.5,,,,
72,2021년 정기평가,1-11350-00175,노원실버센터,01.입소시설30인이상,법인,서울특별시,노원구,2022-06-03,C,79.35,75,93.75,66.67,70,93.5,,,,
73,2021년 정기평가,1-11350-00400,상계요양원,01.입소시설30인이상,개인,서울특별시,노원구,2022-08-31,B,81.1,73.33,86.61,100,70.71,91,,,,
74,2021년 정기평가,1-11350-00273,길요양원,01.입소시설30인이상,개인,서울특별시,노원구,2022-05-31,B,83.1,73.33,89.29,66.67,89.29,78.5,,,,
75,2021년 정기평가,1-11350-00011,시립중계노인전문요양원,01.입소시설30인이상,지방자치단체,서울특별시,노원구,2022-08-04,E,78.85,83.33,94.64,83.33,60.71,86,,,,
76,2021년 정기평가,1-11350-00020,영기노인요양원,01.입소시설30인이상,법인,서울특별시,노원구,2021-12-17,E,65.05,73.33,97.32,50,34.29,88,,,,
77,2021년 정기평가,1-11350-00268,노원요양복지원,01.입소시설30인이상,개인,서울특별시,노원구,2021-12-13,D,77.35,71.67,92.86,45.83,75.71,86,,,,
78,2021년 정기평가,1-11350-00016,구립하계실버센터,01.입소시설30인이상,지방자치단체,서울특별시,노원구,2022-07-29,A,94.6,100,100,100,87.86,88.5,,,,
79,2021년 정기평가,1-11350-00188,늘사랑실버센터,01.입소시설30인이상,개인,서울특별시,노원구,2021-12-02,C,81.85,73.33,92.86,58.33,82.86,88.5,,,,
80,2021년 정기평가,1-11350-00223,서울실버케어노인요양원,01.입소시설30인이상,개인,서울특별시,노원구,2022-06-02,E,59.05,41.67,72.32,50,50,90.5,,,,
81,2021년 정기평가,1-11350-00425,러빙케어,02.입소시설10이상30인미만,개인,서울특별시,노원구,2021-12-30,B,86.13,78.33,89.29,66.67,91.66,93,,,,
82,2021년 정기평가,1-11350-00355,A+행복한그린요양원,02.입소시설10이상30인미만,개인,서울특별시,노원구,2022-08-02,B,87.4,90,97.32,91.67,77.29,86,,,,
83,2021년 정기평가,1-11350-00407,효누리요양원,03.입소시설10인미만,개인,서울특별시,노원구,2022-05-12,C,79.71,83.93,91.96,83.33,65.91,83,,,,
84,2021년 정기평가,1-11350-00260,너싱홈 돌봄과간호1,03.입소시설10인미만,법인,서울특별시,노원구,2022-10-28,C,72.71,53.6,89.29,62.5,65.91,91,,,,
85,2021년 정기평가,1-11350-00261,너싱홈 돌봄과간호2,03.입소시설10인미만,법인,서울특별시,노원구,2022-10-28,E,73.41,39.27,89.29,62.5,73.34,93.5,,,,
86,2021년 정기평가,1-11350-00160,노원효사랑요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-04-22,D,69.59,71.4,70.54,54.17,71.66,75.5,,,,
87,2021년 정기평가,1-11350-00292,수요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-12-14,E,57.37,51.8,86.61,50,30,88.5,,,,
88,2021년 정기평가,1-11350-00460,성모요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-11-16,D,60.84,51.8,88.39,50,40.91,80,,,,
89,2021년 정기평가,1-11350-00465,늘봄요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-11-17,C,76.13,71.4,95.54,50,68.34,87.5,,,,
90,2021년 정기평가,1-11350-00372,가온요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-07-08,B,90.68,87.53,95.54,62.5,100,83,,,,
91,2021년 정기평가,1-11350-00487,가족마음요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-12-22,C,70.61,58.93,75.89,66.67,68.94,83.9,,,,
92,2021년 정기평가,1-11350-00441,노원행복한요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-12-23,C,72.74,71.4,90.18,62.5,61.37,78,,,,
93,2021년 정기평가,1-11350-00442,행복한요양원,03.입소시설10인미만,개인,서울특별시,노원구,2021-12-23,D,65.9,62.53,90.18,62.5,48.49,68,,,,
94,2021년 정기평가,1-11350-00327,노원편안한요양원1,03.입소시설10인미만,개인,서울특별시,노원구,2021-04-21,E,42.46,30.33,68.75,45.83,15.14,78.6,,,,
95,2021년 정기평가,1-11350-00333,주사랑노인종합복지센터,03.입소시설10인미만,개인,서울특별시,노원구,2022-02-04,E,28.54,21.4,50,33.33,3.8,60,,,,
96,2021년 정기평가,1-11410-00181,노인요양시설 실버스토리,01.입소시설30인이상,개인,서울특별시,서대문구,2022-06-16,B,87.1,83.33,96.43,66.67,89.29,83.5,,,,
97,2021년 정기평가,1-11410-00149,연희시니어스,01.입소시설30인이상,법인,서울특별시,서대문구,2021-12-03,C,81.6,56.67,91.96,83.33,80,93.5,,,,
98,2021년 정기평가,1-11410-00073,구립서대문노인전문요양센터,01.입소시설30인이상,지방자치단체,서울특별시,서대문구,2022-01-17,A,95.8,86.67,100,100,96.43,90.5,,,,
99,2021년 정기평가,1-11410-00021,중앙소규모요양시설,02.입소시설10이상30인미만,법인,서울특별시,서대문구,2021-12-28,C,70.89,73.33,84.82,66.67,56.83,82.5,,,,
100,2021년 정기평가,1-11410-00098,홍은노인요양시설,02.입소시설10이상30인미만,지방자치단체,서울특별시,서대문구,2021-11-17,B,80.06,63.33,96.43,75,74.17,86,,,,
101,2021년 정기평가,1-11410-00210,효드림요양원,02.입소시설10이상30인미만,개인,서울특별시,서대문구,2022-01-26,D,69.94,61.67,85.71,66.67,56.83,88,,,,
102,2021년 정기평가,1-11410-00097,서대문노인복지관요양센터,02.입소시설10이상30인미만,지방자치단체,서울특별시,서대문구,2021-11-19,B,87.3,83.33,95.54,100,75,98,,,,
103,2021년 정기평가,1-11410-00224,행복가득요양원,02.입소시설10이상30인미만,개인,서울특별시,서대문구,2022-05-09,C,73.26,68.33,83.93,91.67,60.6,73,,,,
104,2021년 정기평가,1-11410-00023,효림노인요양센터,02.입소시설10이상30인미만,법인,서울특별시,서대문구,2022-01-17,B,85.45,80,84.82,100,82.57,88,,,,
105,2021년 정기평가,1-11410-00241,노인요양시설 하늘정원실버케어,02.입소시설10이상30인미만,개인,서울특별시,서대문구,2022-06-15,C,78.99,76.67,83.93,83.33,69.69,96,,,,
106,2021년 정기평가,1-11410-00133,연궁너싱홈,03.입소시설10인미만,개인,서울특별시,서대문구,2022-09-02,D,67.68,75,84.82,58.33,52.51,73,,,,
107,2021년 정기평가,1-11410-00124,중앙효노인요양공동생활가정,03.입소시설10인미만,법인,서울특별시,서대문구,2021-12-28,C,71.36,80.33,84.82,66.67,58.34,71.4,,,,
108,2021년 정기평가,1-11410-00170,중앙실버노인요양공동생활가정,03.입소시설10인미만,법인,서울특별시,서대문구,2021-12-28,C,75.55,80.33,84.82,66.67,65,90,,,,
109,2021년 정기평가,1-11410-00093,백산요양원,03.입소시설10인미만,개인,서울특별시,서대문구,2021-11-19,C,70.62,55.33,97.32,62.5,55.31,82.1,,,,
110,2021년 정기평가,1-11410-00227,장수노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,서대문구,2021-12-21,D,65.09,53.6,86.61,54.17,50,88,,,,
111,2021년 정기평가,1-11470-00013,양천사랑마루,01.입소시설30인이상,개인,서울특별시,양천구,2022-05-24,C,74.85,73.33,88.39,62.5,69.29,73.5,,,,
112,2021년 정기평가,1-11470-00366,목동평강 요양원,01.입소시설30인이상,개인,서울특별시,양천구,2022-02-07,D,60.1,55,71.43,79.17,41.43,78.5,,,,
113,2021년 정기평가,1-11470-00383,늘푸른 소망요양원,01.입소시설30인이상,개인,서울특별시,양천구,2022-06-29,C,75.1,73.33,89.29,83.33,58.57,86,,,,
114,2021년 정기평가,1-11470-00183,구립양천어르신요양센터,01.입소시설30인이상,지방자치단체,서울특별시,양천구,2022-07-22,B,88.35,98.33,100,66.67,80,96,,,,
115,2021년 정기평가,1-11470-00322,신월실버요양원,01.입소시설30인이상,개인,서울특별시,양천구,2022-06-14,B,84.35,78.33,100,83.33,73.57,88.5,,,,
116,2021년 정기평가,1-11470-00330,실버캐슬요양타운,01.입소시설30인이상,개인,서울특별시,양천구,2022-05-31,B,82.1,80,87.5,83.33,79.29,78.5,,,,
117,2021년 정기평가,1-11470-00221,정다운요양원,01.입소시설30인이상,개인,서울특별시,양천구,2022-05-12,A,91.8,88.33,98.21,100,88.57,80.5,,,,
118,2021년 정기평가,1-11470-00362,하늘정원 요양원,01.입소시설30인이상,개인,서울특별시,양천구,2022-06-02,B,88.35,76.67,97.32,95.83,85.71,81,,,,
119,2021년 정기평가,1-11470-00350,올리사랑 요양원,02.입소시설10이상30인미만,개인,서울특별시,양천구,2022-06-03,B,83.57,80,84.82,100,75.77,93,,,,
120,2021년 정기평가,1-11470-00121,신목행복자리어르신요양센터,02.입소시설10이상30인미만,지방자치단체,서울특별시,양천구,2022-08-01,C,76.14,85,94.64,50,60.83,96,,,,
121,2021년 정기평가,1-11470-00005,두엄자리,02.입소시설10이상30인미만,개인,서울특별시,양천구,2022-02-11,A,95.82,95,94.64,100,98.49,86,,,,
122,2021년 정기평가,1-11470-00136,양천어르신종합복지관 병설양천어르신요양센터,02.입소시설10이상30인미만,지방자치단체,서울특별시,양천구,2022-08-10,B,85.34,93.33,96.43,100,65.83,93,,,,
123,2021년 정기평가,1-11470-00294,목동조은요양원,03.입소시설10인미만,개인,서울특별시,양천구,2021-04-22,A,93.4,87.53,95.54,100,98.49,70.5,,,,
124,2021년 정기평가,1-11470-00093,나이팅게일 너싱홈,03.입소시설10인미만,개인,서울특별시,양천구,2022-01-04,A,93.67,80.33,97.32,100,96.2,87,,,,
125,2021년 정기평가,1-11470-00165,예덕너싱홈,03.입소시설10인미만,개인,서울특별시,양천구,2021-12-23,C,76.28,69.67,86.61,91.67,61.66,90,,,,
126,2021년 정기평가,1-11470-00124,나눔의집,03.입소시설10인미만,법인,서울특별시,양천구,2022-06-21,C,76.92,85.73,79.46,75,69.17,86,,,,
127,2021년 정기평가,1-11470-00126,보람의집,03.입소시설10인미만,법인,서울특별시,양천구,2022-06-21,C,76.05,78.6,80.36,75,70.46,81,,,,
128,2021년 정기평가,1-11470-00076,신목동 노인복지센터,03.입소시설10인미만,개인,서울특별시,양천구,2021-12-27,B,87.22,62.53,100,91.67,85.83,88,,,,
129,2021년 정기평가,1-11530-00215,삼농실버마을,01.입소시설30인이상,법인,서울특별시,구로구,2022-05-13,B,89.8,85,100,100,84.29,75.5,,,,
130,2021년 정기평가,1-11530-00136,효도로 노인전문요양원,01.입소시설30인이상,개인,서울특별시,구로구,2022-01-27,B,89.1,85,89.29,100,87.86,86,,,,
131,2021년 정기평가,1-11530-00234,휴림실버요양센터,01.입소시설30인이상,개인,서울특별시,구로구,2022-02-07,B,84.6,81.67,98.21,66.67,78.57,93.5,,,,
132,2021년 정기평가,1-11530-00208,미소들실버케어센터,01.입소시설30인이상,법인,서울특별시,구로구,2022-07-29,A,93.25,83.33,92.86,100,97.71,85.5,,,,
133,2021년 정기평가,1-11530-00210,구로푸른요양원,01.입소시설30인이상,개인,서울특별시,구로구,2022-07-28,B,89.1,91.67,94.64,66.67,92.14,86,,,,
134,2021년 정기평가,1-11530-00309,그린케어요양센터,01.입소시설30인이상,개인,서울특별시,구로구,2022-01-04,D,69.6,75,77.68,83.33,53.57,78.5,,,,
135,2021년 정기평가,1-11530-00246,구로 미가 요양원,02.입소시설10이상30인미만,개인,서울특별시,구로구,2021-04-22,C,73.67,66.67,97.32,66.67,58.34,80,,,,
136,2021년 정기평가,1-11530-00267,늘봄시니어케어센터,02.입소시설10이상30인미만,개인,서울특별시,구로구,2022-01-04,B,83.43,90,92.86,91.67,66.66,96,,,,
137,2021년 정기평가,1-11530-00320,소망요양원1,03.입소시설10인미만,개인,서울특별시,구로구,2022-02-08,C,80.74,58.93,91.07,66.67,90.14,68.5,,,,
138,2021년 정기평가,1-11530-00321,소망요양원2,03.입소시설10인미만,개인,서울특별시,구로구,2022-02-08,B,81.41,66.07,91.07,79.17,83.34,73.3,,,,
139,2021년 정기평가,1-11530-00103,행복요양원,03.입소시설10인미만,법인,서울특별시,구로구,2022-01-18,C,84.24,82.13,100,50,83.34,87.5,,,,
140,2021년 정기평가,1-11530-00178,행복요양원2,03.입소시설10인미만,법인,서울특별시,구로구,2022-01-18,C,81.42,75,100,58.33,78.34,77.5,,,,
141,2021년 정기평가,1-11530-00336,강이보이는요양원,03.입소시설10인미만,개인,서울특별시,구로구,2021-11-19,D,69.79,57.13,78.57,87.5,58.34,83,,,,
142,2021년 정기평가,1-11620-00277,서울숲요양원,01.입소시설30인이상,법인,서울특별시,관악구,2022-02-10,A,93.55,78.33,95.54,100,98.57,85.5,,,,
143,2021년 정기평가,1-11620-00078,미성요양원,01.입소시설30인이상,개인,서울특별시,관악구,2021-11-22,C,77.1,65,94.64,79.17,63.57,91,,,,
144,2021년 정기평가,1-11620-00002,동명노인복지센타,01.입소시설30인이상,법인,서울특별시,관악구,2021-12-09,A,97.55,95,97.32,100,100,90.5,,,,
145,2021년 정기평가,1-11620-00193,강남한보리전문요양원,01.입소시설30인이상,개인,서울특별시,관악구,2021-11-23,D,79.1,73.33,91.07,66.67,73.57,88.5,,,,
146,2021년 정기평가,1-11620-00304,나은요양원,02.입소시설10이상30인미만,개인,서울특별시,관악구,2021-12-06,C,80.44,73.33,91.96,50,81.83,90.5,,,,
147,2021년 정기평가,1-11620-00337,당신의 의자 요양원,02.입소시설10이상30인미만,개인,서울특별시,관악구,2021-11-16,D,62.62,73.33,83.93,54.17,40.91,73,,,,
148,2021년 정기평가,1-11620-00099,법화노인요양원,02.입소시설10이상30인미만,법인,서울특별시,관악구,2021-12-28,E,56.7,63.33,75.89,50,32.57,85.5,,,,
149,2021년 정기평가,1-11620-00253,삼성요양원,02.입소시설10이상30인미만,개인,서울특별시,관악구,2021-12-29,D,66.89,55,92.86,50,54.54,75.5,,,,
150,2021년 정기평가,1-11620-00113,관악노인종합사회복지관 병설 관악치매전문요양센터,02.입소시설10이상30인미만,지방자치단체,서울특별시,관악구,2022-07-28,C,79.85,93.33,89.29,75,65,91,,,,
151,2021년 정기평가,1-11620-00189,에덴요양원,03.입소시설10인미만,개인,서울특별시,관악구,2021-04-20,C,78.05,78.6,97.32,62.5,69.17,73,,,,
152,2021년 정기평가,1-11620-00223,인애요양원,03.입소시설10인미만,개인,서울특별시,관악구,2022-01-25,D,64.21,58.93,82.14,50,50.77,86,,,,
153,2021년 정기평가,1-11620-00246,가나안요양원,03.입소시설10인미만,개인,서울특별시,관악구,2022-01-20,B,82.53,82.13,97.32,66.67,74.17,90,,,,
154,2021년 정기평가,1-11620-00114,한보리노인요양센타,03.입소시설10인미만,개인,서울특별시,관악구,2022-01-13,B,80.78,82.13,92.86,62.5,74.17,90,,,,
155,2021년 정기평가,1-11620-00268,다원요양원,03.입소시설10인미만,개인,서울특별시,관악구,2021-12-22,D,70.88,75,83.04,45.83,62.51,90,,,,
